date,"('Portugal', '0-9')","('Portugal', '10-19')","('Portugal', '20-29')","('Portugal', '30-39')","('Portugal', '40-49')","('Portugal', '50-59')","('Portugal', '60-69')","('Portugal', '70-79')","('Portugal', '80-')"
28-03-2020,7.0,19.0,85.0,130.0,181.0,156.0,123.0,95.0,110.0
29-03-2020,8.0,15.0,70.0,101.0,144.0,153.0,114.0,101.0,86.0
30-03-2020,7.0,11.0,49.0,63.0,64.0,66.0,51.0,57.0,78.0
31-03-2020,23.0,35.0,118.0,150.0,173.0,196.0,127.0,90.0,123.0
01-04-2020,10.0,21.0,70.0,105.0,137.0,130.0,105.0,75.0,155.0
02-04-2020,11.0,14.0,71.0,108.0,131.0,154.0,94.0,59.0,141.0
03-04-2020,18.0,17.0,109.0,145.0,176.0,156.0,98.0,53.0,80.0
04-04-2020,17.0,16.0,77.0,94.0,101.0,122.0,71.0,54.0,86.0
05-04-2020,12.0,24.0,97.0,104.0,130.0,125.0,95.0,60.0,107.0
06-04-2020,12.0,9.0,36.0,60.0,71.0,67.0,44.0,43.0,110.0
07-04-2020,5.0,21.0,79.0,87.0,110.0,116.0,79.0,57.0,158.0
08-04-2020,13.0,17.0,69.0,106.0,141.0,136.0,96.0,67.0,54.0
09-04-2020,14.0,28.0,81.0,89.0,103.0,105.0,70.0,58.0,267.0
10-04-2020,39.0,49.0,164.0,202.0,252.0,255.0,179.0,122.0,254.0
11-04-2020,20.0,15.0,31.0,41.0,82.0,80.0,51.0,54.0,141.0
12-04-2020,18.0,15.0,72.0,68.0,78.0,99.0,63.0,57.0,128.0
13-04-2020,1.0,5.0,52.0,48.0,37.0,51.0,33.0,48.0,74.0
14-04-2020,6.0,16.0,57.0,50.0,73.0,86.0,62.0,61.0,103.0
15-04-2020,14.0,19.0,78.0,84.0,119.0,105.0,74.0,47.0,103.0
16-04-2020,17.0,15.0,96.0,118.0,143.0,146.0,77.0,42.0,96.0
17-04-2020,1.0,2.0,19.0,25.0,29.0,27.0,22.0,16.0,40.0
18-04-2020,6.0,21.0,84.0,102.0,92.0,116.0,66.0,54.0,122.0
19-04-2020,17.0,28.0,52.0,80.0,85.0,88.0,37.0,41.0,93.0
20-04-2020,14.0,45.0,151.0,100.0,125.0,72.0,59.0,51.0,40.0
21-04-2020,0.0,6.0,78.0,53.0,22.0,88.0,54.0,28.0,187.0
22-04-2020,1.0,61.0,81.0,89.0,121.0,99.0,64.0,56.0,31.0
23-04-2020,0.0,11.0,72.0,57.0,44.0,49.0,36.0,38.0,64.0
24-04-2020,0.0,12.0,77.0,59.0,45.0,62.0,66.0,48.0,75.0
25-04-2020,8.0,12.0,36.0,78.0,97.0,78.0,46.0,26.0,93.0
26-04-2020,10.0,17.0,49.0,47.0,60.0,47.0,29.0,41.0,112.0
27-04-2020,2.0,8.0,13.0,15.0,25.0,26.0,21.0,13.0,40.0
28-04-2020,14.0,5.0,37.0,28.0,55.0,31.0,37.0,34.0,54.0
29-04-2020,2.0,6.0,14.0,30.0,28.0,36.0,18.0,15.0,34.0
30-04-2020,1.0,19.0,76.0,61.0,48.0,80.0,1.0,14.0,68.0
01-05-2020,4.0,13.0,44.0,53.0,53.0,53.0,19.0,10.0,46.0
02-05-2020,10.0,4.0,43.0,36.0,26.0,38.0,15.0,7.0,24.0
03-05-2020,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,4.0
04-05-2020,14.0,15.0,51.0,62.0,38.0,60.0,21.0,26.0,36.0
05-05-2020,11.0,4.0,21.0,15.0,15.0,11.0,25.0,31.0,45.0
06-05-2020,3.0,8.0,100.0,96.0,112.0,88.0,33.0,11.0,29.0
07-05-2020,15.0,22.0,99.0,106.0,105.0,84.0,46.0,14.0,42.0
08-05-2020,10.0,15.0,77.0,115.0,105.0,90.0,63.0,29.0,49.0
09-05-2020,1.0,12.0,12.0,20.0,16.0,16.0,20.0,21.0,20.0
10-05-2020,3.0,11.0,33.0,31.0,26.0,36.0,17.0,14.0,4.0
11-05-2020,5.0,7.0,19.0,6.0,9.0,16.0,8.0,5.0,23.0
12-05-2020,5.0,15.0,38.0,38.0,44.0,37.0,17.0,7.0,33.0
13-05-2020,6.0,8.0,39.0,45.0,35.0,36.0,8.0,17.0,25.0
14-05-2020,7.0,8.0,39.0,29.0,30.0,46.0,8.0,6.0,14.0
15-05-2020,8.0,13.0,59.0,56.0,38.0,32.0,20.0,14.0,24.0
16-05-2020,13.0,12.0,42.0,32.0,32.0,39.0,25.0,6.0,26.0
17-05-2020,6.0,11.0,40.0,35.0,48.0,50.0,14.0,9.0,13.0
18-05-2020,10.0,6.0,36.0,39.0,31.0,29.0,16.0,2.0,4.0
19-05-2020,3.0,7.0,39.0,50.0,53.0,21.0,21.0,11.0,18.0
20-05-2020,6.0,14.0,41.0,51.0,45.0,36.0,24.0,6.0,5.0
21-05-2020,10.0,12.0,45.0,52.0,54.0,31.0,28.0,15.0,5.0
22-05-2020,8.0,20.0,54.0,61.0,47.0,34.0,24.0,23.0,17.0
23-05-2020,12.0,10.0,70.0,38.0,41.0,36.0,29.0,14.0,21.0
24-05-2020,12.0,8.0,31.0,30.0,14.0,23.0,21.0,10.0,3.0
25-05-2020,6.0,10.0,50.0,27.0,24.0,22.0,12.0,3.0,11.0
26-05-2020,13.0,15.0,44.0,33.0,27.0,17.0,31.0,13.0,26.0
27-05-2020,9.0,19.0,48.0,74.0,53.0,50.0,23.0,6.0,3.0
28-05-2020,19.0,15.0,65.0,57.0,50.0,41.0,21.0,17.0,19.0
29-05-2020,20.0,13.0,64.0,62.0,53.0,34.0,23.0,37.0,44.0
30-05-2020,8.0,16.0,56.0,59.0,42.0,36.0,17.0,17.0,6.0
31-05-2020,19.0,17.0,62.0,61.0,49.0,42.0,22.0,9.0,16.0
01-06-2020,18.0,10.0,48.0,35.0,20.0,22.0,23.0,10.0,14.0
02-06-2020,14.0,10.0,33.0,41.0,33.0,22.0,10.0,13.0,13.0
03-06-2020,19.0,22.0,74.0,57.0,64.0,46.0,21.0,26.0,43.0
04-06-2020,14.0,11.0,79.0,79.0,62.0,54.0,23.0,5.0,4.0
05-06-2020,17.0,19.0,80.0,96.0,55.0,55.0,35.0,13.0,7.0
06-06-2020,17.0,21.0,82.0,83.0,83.0,46.0,15.0,22.0,13.0
07-06-2020,19.0,16.0,57.0,52.0,61.0,46.0,34.0,12.0,12.0
08-06-2020,17.0,18.0,41.0,19.0,23.0,31.0,22.0,7.0,14.0
09-06-2020,19.0,9.0,84.0,79.0,69.0,66.0,42.0,16.0,34.0
10-06-2020,23.0,28.0,53.0,54.0,53.0,42.0,31.0,10.0,11.0
11-06-2020,23.0,25.0,41.0,100.0,36.0,43.0,29.0,5.0,7.0
12-06-2020,24.0,27.0,62.0,44.0,40.0,35.0,22.0,12.0,5.0
13-06-2020,4.0,10.0,58.0,42.0,62.0,39.0,27.0,15.0,26.0
14-06-2020,16.0,14.0,46.0,48.0,38.0,35.0,11.0,13.0,1.0
15-06-2020,11.0,15.0,80.0,57.0,56.0,48.0,24.0,17.0,43.0
16-06-2020,10.0,15.0,46.0,50.0,70.0,39.0,31.0,12.0,27.0
17-06-2020,10.0,17.0,62.0,57.0,66.0,65.0,29.0,12.0,18.0
18-06-2020,21.0,31.0,103.0,68.0,56.0,48.0,31.0,28.0,29.0
19-06-2020,24.0,36.0,85.0,66.0,42.0,50.0,43.0,8.0,20.0
20-06-2020,27.0,30.0,69.0,68.0,61.0,42.0,18.0,7.0,55.0
21-06-2020,24.0,22.0,49.0,53.0,55.0,42.0,18.0,11.0,16.0
22-06-2020,8.0,18.0,29.0,34.0,33.0,18.0,34.0,21.0,63.0
23-06-2020,17.0,28.0,67.0,69.0,62.0,46.0,26.0,12.0,21.0
24-06-2020,21.0,19.0,66.0,60.0,61.0,44.0,34.0,32.0,28.0
25-06-2020,26.0,29.0,55.0,61.0,49.0,34.0,16.0,13.0,29.0
26-06-2020,30.0,37.0,66.0,91.0,52.0,48.0,40.0,28.0,59.0
27-06-2020,28.0,17.0,60.0,60.0,48.0,40.0,34.0,15.0,21.0
28-06-2020,28.0,38.0,81.0,85.0,63.0,53.0,30.0,16.0,64.0
29-06-2020,15.0,21.0,50.0,51.0,50.0,26.0,15.0,13.0,25.0
30-06-2020,16.0,15.0,52.0,49.0,33.0,32.0,28.0,17.0,16.0
01-07-2020,14.0,19.0,76.0,78.0,47.0,39.0,39.0,17.0,18.0
02-07-2020,24.0,29.0,68.0,78.0,56.0,41.0,35.0,24.0,23.0
03-07-2020,27.0,27.0,76.0,74.0,79.0,47.0,48.0,22.0,55.0
04-07-2020,26.0,36.0,83.0,60.0,64.0,52.0,36.0,25.0,30.0
05-07-2020,40.0,21.0,62.0,66.0,42.0,30.0,25.0,13.0,28.0
06-07-2020,12.0,15.0,52.0,29.0,34.0,34.0,21.0,17.0,17.0
07-07-2020,19.0,16.0,51.0,52.0,51.0,33.0,25.0,17.0,23.0
08-07-2020,23.0,20.0,92.0,94.0,55.0,68.0,30.0,27.0,34.0
09-07-2020,17.0,32.0,75.0,72.0,66.0,59.0,39.0,36.0,22.0
10-07-2020,20.0,37.0,88.0,79.0,59.0,56.0,31.0,16.0,16.0
11-07-2020,23.0,28.0,60.0,70.0,56.0,45.0,19.0,17.0,23.0
12-07-2020,21.0,21.0,40.0,53.0,47.0,29.0,37.0,17.0,16.0
13-07-2020,25.0,16.0,63.0,56.0,41.0,43.0,32.0,16.0,14.0
14-07-2020,10.0,11.0,57.0,36.0,46.0,30.0,23.0,10.0,9.0
15-07-2020,24.0,26.0,56.0,72.0,81.0,47.0,25.0,22.0,15.0
16-07-2020,22.0,26.0,61.0,72.0,57.0,40.0,21.0,21.0,17.0
17-07-2020,24.0,18.0,66.0,60.0,49.0,41.0,21.0,16.0,11.0
18-07-2020,23.0,19.0,61.0,47.0,53.0,41.0,32.0,19.0,18.0
19-07-2020,19.0,19.0,37.0,45.0,44.0,37.0,20.0,14.0,11.0
20-07-2020,8.0,8.0,24.0,24.0,20.0,16.0,16.0,7.0,12.0
21-07-2020,6.0,6.0,27.0,25.0,15.0,16.0,15.0,9.0,8.0
22-07-2020,22.0,24.0,42.0,44.0,48.0,23.0,19.0,22.0,7.0
23-07-2020,13.0,19.0,43.0,33.0,45.0,26.0,17.0,18.0,13.0
24-07-2020,18.0,24.0,54.0,65.0,49.0,34.0,31.0,11.0,27.0
25-07-2020,14.0,20.0,49.0,57.0,44.0,29.0,26.0,16.0,8.0
26-07-2020,22.0,7.0,43.0,32.0,31.0,32.0,16.0,10.0,15.0
27-07-2020,4.0,11.0,22.0,28.0,27.0,18.0,12.0,5.0,8.0
28-07-2020,8.0,5.0,22.0,9.0,12.0,14.0,17.0,8.0,12.0
29-07-2020,22.0,9.0,50.0,22.0,37.0,36.0,10.0,9.0,6.0
30-07-2020,13.0,11.0,39.0,54.0,58.0,31.0,22.0,12.0,15.0
31-07-2020,19.0,18.0,26.0,26.0,43.0,26.0,17.0,14.0,13.0
01-08-2020,24.0,19.0,32.0,37.0,36.0,27.0,23.0,13.0,27.0
02-08-2020,16.0,18.0,26.0,30.0,17.0,19.0,8.0,6.0,13.0
03-08-2020,9.0,5.0,15.0,22.0,18.0,12.0,10.0,12.0,3.0
04-08-2020,7.0,9.0,15.0,17.0,22.0,8.0,17.0,7.0,8.0
05-08-2020,12.0,16.0,22.0,27.0,25.0,28.0,20.0,10.0,7.0
06-08-2020,10.0,19.0,38.0,37.0,25.0,31.0,17.0,16.0,20.0
07-08-2020,8.0,20.0,52.0,52.0,32.0,35.0,22.0,26.0,43.0
08-08-2020,16.0,21.0,30.0,27.0,33.0,19.0,24.0,8.0,8.0
09-08-2020,5.0,10.0,24.0,21.0,21.0,23.0,12.0,15.0,0.0
10-08-2020,12.0,8.0,35.0,23.0,31.0,24.0,13.0,6.0,5.0
11-08-2020,5.0,5.0,24.0,29.0,17.0,10.0,8.0,5.0,16.0
12-08-2020,16.0,18.0,56.0,50.0,37.0,33.0,25.0,17.0,29.0
13-08-2020,6.0,23.0,52.0,50.0,46.0,48.0,30.0,23.0,47.0
14-08-2020,25.0,18.0,67.0,43.0,34.0,21.0,16.0,6.0,6.0
15-08-2020,12.0,16.0,38.0,29.0,49.0,24.0,14.0,7.0,8.0
16-08-2020,7.0,7.0,19.0,22.0,18.0,19.0,14.0,8.0,7.0
17-08-2020,7.0,9.0,19.0,22.0,24.0,16.0,15.0,9.0,11.0
18-08-2020,5.0,11.0,31.0,33.0,32.0,35.0,18.0,11.0,38.0
19-08-2020,7.0,17.0,46.0,49.0,47.0,30.0,22.0,17.0,18.0
20-08-2020,8.0,16.0,55.0,57.0,47.0,36.0,41.0,17.0,14.0
21-08-2020,11.0,12.0,47.0,38.0,39.0,23.0,21.0,18.0,10.0
22-08-2020,12.0,12.0,48.0,42.0,35.0,33.0,25.0,12.0,21.0
23-08-2020,10.0,10.0,36.0,29.0,22.0,18.0,9.0,7.0,4.0
24-08-2020,3.0,10.0,26.0,25.0,16.0,11.0,11.0,7.0,14.0
25-08-2020,14.0,10.0,28.0,34.0,36.0,18.0,25.0,13.0,14.0
26-08-2020,12.0,19.0,71.0,60.0,44.0,46.0,41.0,29.0,39.0
27-08-2020,14.0,36.0,86.0,67.0,60.0,47.0,37.0,28.0,24.0
28-08-2020,23.0,38.0,65.0,74.0,70.0,66.0,34.0,17.0,14.0
29-08-2020,26.0,26.0,86.0,67.0,64.0,45.0,32.0,9.0,19.0
30-08-2020,6.0,21.0,70.0,52.0,48.0,40.0,22.0,22.0,35.0
31-08-2020,8.0,7.0,24.0,39.0,39.0,38.0,35.0,22.0,32.0
01-09-2020,14.0,14.0,61.0,30.0,32.0,30.0,23.0,13.0,14.0
02-09-2020,20.0,29.0,81.0,68.0,52.0,53.0,40.0,17.0,30.0
03-09-2020,20.0,26.0,72.0,74.0,64.0,51.0,52.0,29.0,30.0
04-09-2020,18.0,26.0,75.0,59.0,64.0,61.0,35.0,30.0,38.0
05-09-2020,36.0,46.0,80.0,72.0,83.0,56.0,51.0,28.0,34.0
06-09-2020,12.0,29.0,48.0,46.0,45.0,39.0,28.0,21.0,47.0
07-09-2020,10.0,21.0,32.0,44.0,34.0,28.0,29.0,17.0,14.0
08-09-2020,24.0,31.0,62.0,53.0,52.0,57.0,53.0,26.0,29.0
09-09-2020,36.0,63.0,125.0,93.0,103.0,86.0,64.0,45.0,31.0
10-09-2020,30.0,40.0,88.0,123.0,80.0,85.0,66.0,29.0,24.0
11-09-2020,29.0,51.0,123.0,111.0,114.0,100.0,74.0,35.0,49.0
12-09-2020,28.0,51.0,98.0,76.0,72.0,72.0,49.0,18.0,33.0
13-09-2020,43.0,45.0,165.0,102.0,95.0,63.0,40.0,36.0,82.0
14-09-2020,33.0,45.0,118.0,100.0,93.0,102.0,60.0,34.0,28.0
15-09-2020,21.0,27.0,82.0,63.0,60.0,47.0,49.0,29.0,47.0
16-09-2020,32.0,33.0,92.0,107.0,104.0,92.0,61.0,33.0,25.0
17-09-2020,31.0,63.0,113.0,157.0,150.0,115.0,63.0,41.0,33.0
18-09-2020,48.0,58.0,145.0,130.0,106.0,118.0,88.0,56.0,49.0
19-09-2020,43.0,68.0,159.0,143.0,156.0,124.0,81.0,43.0,37.0
20-09-2020,20.0,61.0,79.0,80.0,83.0,70.0,52.0,47.0,40.0
21-09-2020,35.0,56.0,106.0,125.0,113.0,76.0,45.0,33.0,33.0
22-09-2020,30.0,31.0,61.0,70.0,85.0,60.0,57.0,33.0,39.0
23-09-2020,44.0,66.0,135.0,145.0,108.0,111.0,71.0,59.0,64.0
24-09-2020,37.0,61.0,94.0,93.0,127.0,109.0,72.0,56.0,41.0
25-09-2020,63.0,67.0,149.0,149.0,137.0,141.0,90.0,55.0,50.0
26-09-2020,52.0,75.0,138.0,149.0,126.0,112.0,73.0,60.0,99.0
27-09-2020,37.0,53.0,116.0,110.0,93.0,83.0,58.0,45.0,27.0
28-09-2020,29.0,40.0,57.0,81.0,72.0,50.0,37.0,32.0,28.0
29-09-2020,37.0,46.0,131.0,115.0,104.0,79.0,63.0,49.0,65.0
30-09-2020,54.0,84.0,128.0,132.0,126.0,115.0,72.0,57.0,57.0
01-10-2020,53.0,85.0,126.0,120.0,147.0,108.0,80.0,55.0,73.0
02-10-2020,51.0,85.0,135.0,132.0,144.0,122.0,84.0,58.0,76.0
